F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
280,546,346,-152,812,509,1134,394,252,785,-980,838,513,270
281,548,342,-153,838,518,1154,398,262,698,-987,838,517,269
277,546,343,-153,867,520,1155,396,261,626,-992,832,515,267
274,544,345,-155,831,503,1148,393,256,753,-985,824,510,269
275,547,346,-157,789,495,1155,393,252,773,-980,832,509,273
280,546,347,-158,813,501,1164,394,250,678,-988,838,513,269
277,545,342,-155,831,509,1164,392,250,693,-994,830,512,267
273,546,340,-152,785,509,1167,394,252,736,-991,832,511,274
270,545,344,-159,801,505,1174,398,256,749,-986,837,513,272
266,542,348,-162,882,508,1171,391,251,730,-985,832,514,266
270,543,347,-156,841,507,1169,382,251,718,-986,828,513,268
277,543,343,-154,751,501,1176,385,269,720,-984,832,515,269
279,546,343,-159,781,504,1179,393,274,686,-983,835,514,267
275,550,344,-161,850,510,1170,390,252,668,-987,834,508,267
276,546,342,-160,859,508,1154,389,244,733,-989,832,511,267
281,546,343,-156,841,507,1149,397,249,757,-985,837,514,269
277,546,344,-156,830,504,1152,397,243,706,-985,838,509,271
273,546,344,-155,801,497,1144,393,239,695,-989,833,512,271
272,549,343,-155,765,498,1139,395,260,754,-988,834,519,274
272,547,343,-161,750,496,1153,396,286,827,-988,839,516,274
274,541,345,-161,762,486,1165,395,290,734,-986,841,512,273
274,546,348,-159,787,479,1158,395,293,669,-984,841,516,276
276,555,347,-162,802,479,1144,398,319,890,-987,841,516,277
276,549,345,-164,786,473,1137,398,328,997,-988,841,513,279
276,542,342,-159,746,463,1144,397,299,767,-983,843,516,278
278,550,340,-157,774,477,1165,395,297,668,-981,843,517,275
276,554,340,-159,804,504,1178,395,338,861,-987,840,514,278
273,549,343,-158,750,506,1179,395,353,952,-988,840,518,283
271,542,347,-157,767,482,1168,391,336,874,-982,841,522,284
275,541,346,-161,834,471,1162,390,332,839,-980,839,514,279
274,543,345,-163,782,478,1169,394,341,878,-984,841,512,279
268,541,344,-161,728,474,1163,397,334,921,-984,843,515,284
270,540,341,-160,757,462,1162,393,317,871,-981,842,514,286
276,546,341,-161,743,461,1175,390,307,715,-983,839,512,280
269,546,340,-162,752,471,1173,393,302,714,-988,838,513,274
268,541,335,-162,810,475,1164,397,298,909,-986,843,514,280
273,541,335,-162,799,473,1165,400,284,920,-983,842,514,285
264,545,340,-162,771,472,1164,398,270,789,-984,839,513,281
259,546,340,-166,741,477,1162,393,284,816,-984,841,514,280
266,541,337,-170,731,482,1176,394,311,845,-983,839,511,276
269,540,340,-163,806,484,1178,398,314,798,-982,834,509,275
264,542,343,-157,845,489,1173,400,315,864,-983,843,511,283
261,542,339,-165,782,498,1187,399,328,885,-985,846,513,281
268,541,340,-169,759,504,1195,394,327,766,-986,838,513,277
270,540,340,-166,799,499,1188,388,311,707,-987,835,514,283
268,540,337,-163,824,484,1187,391,309,832,-988,840,515,287
267,542,337,-165,770,485,1193,397,319,955,-984,843,514,279
269,545,338,-169,676,497,1186,389,304,781,-983,843,515,275
270,543,338,-167,739,488,1169,386,269,619,-984,842,517,279
265,539,335,-162,875,470,1155,394,276,819,-980,841,516,282
265,542,334,-164,802,474,1161,399,313,1004,-983,843,516,283
263,544,337,-166,694,482,1171,398,320,901,-992,844,516,277
258,542,338,-162,766,469,1166,396,308,812,-991,838,511,272
264,541,340,-160,796,451,1157,398,295,813,-981,836,508,277
265,537,337,-163,736,454,1151,399,276,778,-982,838,512,282
257,535,333,-166,751,468,1145,396,267,801,-987,841,515,281
260,539,335,-167,800,467,1138,392,263,763,-987,842,516,278
263,542,337,-168,807,456,1135,396,256,690,-988,841,517,277
255,538,337,-168,794,450,1136,399,256,763,-985,841,518,278
257,536,335,-167,817,450,1133,397,251,818,-979,842,515,280
261,540,332,-167,826,450,1128,399,228,718,-980,841,516,283
257,538,333,-163,762,446,1130,397,199,630,-986,840,516,286
258,531,335,-162,768,436,1123,392,183,700,-986,841,512,280
265,531,336,-164,847,431,1104,393,185,760,-983,845,510,275
261,537,337,-165,826,429,1104,400,190,684,-983,847,513,283
