F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
272,540,345,-143,749,454,1090,400,244,624,-987,840,515,271
272,543,339,-132,756,451,1073,403,242,624,-988,842,512,270
266,542,340,-131,754,468,1081,402,246,627,-985,839,516,271
266,541,343,-137,750,475,1101,401,252,629,-988,834,519,272
276,536,341,-136,750,452,1100,401,247,625,-993,838,515,269
276,534,339,-135,749,442,1091,397,246,624,-989,842,515,269
268,538,338,-137,749,464,1096,400,266,625,-985,842,519,272
268,540,336,-137,749,483,1101,403,269,625,-987,841,520,273
271,537,338,-136,747,473,1104,400,249,623,-989,841,515,275
272,544,342,-139,750,463,1097,400,241,624,-986,843,515,276
271,550,344,-136,752,458,1077,400,229,625,-989,845,518,274
269,546,343,-130,747,446,1067,395,215,625,-991,841,517,270
270,544,339,-132,745,441,1067,395,225,624,-987,836,518,271
271,545,337,-135,749,442,1062,400,232,623,-982,837,520,273
267,542,338,-135,751,443,1062,398,218,624,-978,841,521,275
268,540,341,-135,748,449,1069,392,232,624,-982,841,518,271
270,539,342,-136,750,453,1071,397,261,623,-988,841,515,271
267,541,339,-135,755,453,1078,402,256,625,-987,843,515,277
269,543,338,-132,757,460,1095,401,240,628,-986,845,515,276
274,540,341,-133,754,469,1100,400,234,626,-989,843,514,271
272,538,341,-136,753,471,1096,401,246,625,-986,839,517,271
267,543,340,-137,751,474,1094,402,265,627,-981,837,518,275
268,544,342,-137,746,475,1100,405,271,624,-983,836,515,277
272,541,341,-139,744,477,1102,407,270,623,-984,840,515,275
270,543,338,-139,744,485,1099,398,273,626,-984,846,515,277
271,543,339,-133,748,497,1098,392,271,626,-986,845,515,281
274,541,344,-132,752,503,1104,396,270,625,-985,841,518,277
268,539,347,-140,750,497,1106,399,273,626,-984,844,519,269
265,538,341,-141,746,479,1101,398,258,626,-985,846,515,271
272,540,338,-133,748,472,1103,397,248,626,-985,846,516,273
274,542,343,-134,751,478,1108,396,267,626,-987,846,519,271
271,540,342,-138,748,475,1099,394,272,626,-992,847,519,270
270,542,341,-135,749,467,1076,397,245,626,-993,848,519,273
268,547,340,-133,753,469,1068,400,223,626,-987,842,519,273
266,544,339,-133,751,472,1072,400,224,626,-984,838,521,275
266,543,341,-134,745,471,1068,401,231,626,-989,842,522,279
271,544,344,-135,746,470,1062,400,233,626,-987,841,516,277
270,540,342,-135,753,471,1067,397,232,626,-979,836,512,273
265,540,341,-136,752,469,1074,396,242,626,-984,838,516,275
267,544,343,-137,748,461,1074,400,247,626,-994,846,515,275
271,542,344,-135,749,455,1071,399,243,626,-990,845,513,270
267,537,343,-137,752,454,1071,395,257,626,-980,843,518,272
263,537,341,-143,750,460,1072,393,263,626,-979,846,520,275
266,537,338,-138,749,468,1070,390,244,626,-988,847,512,268
268,539,342,-133,750,471,1070,392,233,626,-992,846,511,270
269,540,344,-135,751,468,1069,398,231,626,-986,842,520,281
271,539,339,-141,752,468,1066,401,220,626,-984,841,522,278
273,541,336,-138,748,474,1079,397,234,626,-990,845,516,271
271,541,340,-132,747,475,1099,399,263,626,-986,846,517,274
266,540,341,-137,747,471,1101,404,266,626,-981,838,522,279
268,541,341,-141,746,468,1095,400,260,626,-983,838,520,279
270,543,342,-137,746,469,1096,399,259,626,-982,844,517,276
266,540,340,-136,753,469,1098,402,256,625,-982,843,515,270
267,535,340,-141,758,469,1097,398,256,626,-987,843,513,268
272,539,338,-139,755,474,1097,393,263,627,-985,845,514,271
271,544,337,-136,749,475,1092,399,275,622,-980,842,518,272
267,543,343,-137,747,476,1096,400,300,622,-987,840,521,270
271,540,345,-139,749,487,1103,395,308,627,-993,845,517,269
273,544,344,-137,746,488,1104,397,283,627,-984,846,513,272
272,544,346,-132,744,474,1111,399,275,623,-979,840,516,276
274,536,344,-134,747,480,1127,396,310,625,-984,839,519,270
273,538,338,-143,749,501,1135,399,330,628,-985,840,521,270
269,543,341,-139,746,506,1124,402,316,627,-985,840,520,275
270,542,342,-132,749,498,1106,398,303,625,-988,842,517,275
271,541,337,-136,751,490,1096,399,290,624,-988,843,513,273
265,539,340,-137,751,492,1102,402,275,621,-987,837,515,275
266,537,343,-128,753,495,1109,395,287,620,-987,838,516,275
274,539,340,-130,753,491,1103,391,317,625,-982,842,515,271
274,538,339,-139,750,483,1106,398,311,627,-985,837,517,272
266,536,341,-139,748,486,1124,398,288,625,-990,835,519,275
262,542,342,-137,752,495,1135,394,302,626,-989,839,518,276
267,542,343,-138,755,496,1128,398,314,626,-990,843,518,274
269,537,344,-139,754,497,1126,401,300,626,-993,841,519,274
267,542,340,-135,750,505,1134,400,296,626,-989,840,519,276
267,542,339,-133,747,500,1136,401,308,626,-988,839,516,275
272,538,341,-137,750,482,1128,398,309,626,-988,837,517,272
271,543,342,-139,750,493,1115,396,303,626,-983,839,520,270
266,546,344,-138,753,503,1106,400,300,626,-982,842,519,272
269,542,342,-135,760,480,1106,403,291,626,-985,839,516,273
274,542,337,-133,761,470,1109,400,289,626,-987,836,515,275
267,547,336,-137,755,481,1107,400,300,626,-988,838,518,276
262,545,340,-142,754,477,1100,401,294,626,-988,836,521,271
267,538,341,-139,755,474,1101,399,278,626,-986,837,520,271
273,539,339,-132,750,478,1103,400,277,626,-984,845,517,272
270,544,340,-134,746,477,1101,401,279,626,-983,845,519,273
269,546,343,-138,746,484,1114,399,283,626,-984,841,519,274
270,542,341,-136,747,484,1124,400,303,626,-987,845,515,271
270,536,338,-132,748,470,1114,401,312,626,-987,844,517,269
269,535,339,-136,749,479,1108,400,296,626,-981,840,519,271
270,539,340,-139,752,497,1108,401,283,626,-983,844,516,273
270,540,339,-134,751,489,1097,398,279,626,-988,844,513,273
269,538,343,-130,753,478,1094,394,273,626,-984,838,512,272
269,537,343,-137,755,474,1102,399,274,626,-985,841,519,272
268,537,340,-141,750,476,1100,401,284,626,-989,847,520,275
266,541,343,-136,748,495,1109,393,294,626,-987,843,515,280
267,547,344,-137,750,509,1126,389,300,626,-985,838,516,273
268,544,343,-143,746,505,1134,394,305,626,-986,841,520,267
269,539,343,-136,746,501,1124,397,299,626,-986,849,515,272
268,541,342,-128,750,493,1104,398,278,626,-985,844,513,277
267,542,342,-136,751,481,1105,393,272,626,-987,834,518,273
267,536,343,-141,753,472,1126,387,291,626,-986,836,517,268
268,537,339,-130,753,478,1131,388,295,626,-986,839,515,274
270,541,333,-132,753,500,1126,396,279,626,-986,833,519,276
269,538,337,-142,752,498,1126,399,279,626,-985,836,518,272
270,539,343,-139,747,472,1113,395,289,626,-985,848,515,272
268,543,342,-132,742,472,1100,394,288,626,-983,850,518,274
266,540,341,-134,746,483,1104,396,295,626,-979,843,522,272
270,538,342,-138,749,474,1100,401,295,626,-982,837,519,275
274,541,340,-138,742,467,1094,399,278,626,-985,837,517,278
270,543,339,-139,745,473,1098,393,279,626,-984,840,518,271
268,543,338,-136,753,475,1100,397,290,626,-986,842,517,270
270,543,336,-134,748,471,1097,403,276,626,-991,843,515,274
269,544,336,-136,745,470,1096,398,264,625,-992,844,518,270
266,542,337,-137,752,475,1094,393,273,628,-988,843,518,267
266,542,339,-136,752,476,1096,396,283,629,-985,842,514,269
268,548,341,-137,747,472,1100,399,295,624,-985,843,515,272
272,546,341,-139,750,473,1099,399,298,623,-986,843,521,276
273,539,340,-138,753,476,1096,399,286,625,-987,844,519,278
272,538,345,-132,750,476,1102,397,290,624,-984,843,513,271
272,538,343,-133,750,477,1111,394,297,623,-984,842,517,270
273,536,340,-139,752,470,1107,396,274,624,-989,843,520,275
272,540,343,-137,750,458,1096,399,258,624,-985,842,514,270
272,541,343,-135,746,460,1098,393,280,624,-980,842,513,265
270,540,338,-137,744,475,1105,390,296,626,-985,844,519,270
273,542,337,-135,746,477,1101,396,294,625,-988,845,516,273
273,541,343,-132,749,472,1089,398,294,624,-983,843,513,272
272,541,344,-135,750,471,1073,394,273,624,-985,839,518,276
273,544,340,-137,751,464,1062,398,239,624,-990,839,516,277
273,541,340,-138,750,461,1067,400,243,623,-986,842,516,273
271,538,341,-139,750,470,1076,395,274,625,-983,843,520,277
273,542,344,-138,753,469,1081,397,289,625,-986,843,516,281
272,544,348,-137,751,478,1093,400,291,624,-988,845,510,276
269,545,346,-135,746,498,1104,396,293,625,-987,848,515,271
270,551,340,-131,748,491,1102,397,291,627,-986,846,520,271
270,543,340,-131,748,472,1097,400,280,625,-990,835,518,276
269,531,340,-133,747,473,1090,396,268,624,-988,834,519,277
268,538,340,-133,749,475,1070,394,271,625,-987,844,519,274
269,549,341,-132,751,486,1072,397,285,624,-992,843,519,275
273,545,339,-134,752,504,1108,398,290,625,-990,836,519,278
272,538,338,-136,753,502,1132,397,291,628,-985,837,519,276
272,543,344,-138,753,496,1134,397,298,629,-990,841,519,275
274,547,343,-138,755,504,1137,399,295,625,-990,842,517,273
273,544,339,-138,753,505,1137,399,284,620,-980,840,513,269
270,540,339,-139,748,498,1129,398,287,621,-980,838,512,269
271,539,342,-137,751,494,1130,398,297,627,-987,840,515,272
272,542,342,-136,751,492,1130,396,290,629,-986,843,516,273
269,541,342,-137,747,498,1123,392,283,626,-980,840,515,272
269,538,342,-136,749,502,1125,394,289,625,-980,839,515,268
