F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
262,543,338,-137,749,485,1158,404,257,625,-991,833,521,270
264,539,335,-138,747,468,1132,399,264,623,-986,828,517,269
272,540,336,-139,750,472,1122,392,286,624,-982,831,517,268
269,542,340,-135,753,491,1130,391,298,624,-982,833,516,269
261,544,338,-136,753,509,1135,392,312,623,-983,833,515,266
265,545,337,-141,752,522,1138,399,323,624,-985,837,515,263
267,542,337,-139,753,529,1153,401,315,623,-986,839,517,268
261,542,334,-139,751,537,1177,395,307,624,-984,836,518,274
262,543,334,-141,748,540,1200,396,292,626,-985,836,514,273
267,541,337,-138,750,520,1194,404,257,628,-990,837,510,269
268,538,338,-134,752,497,1170,395,255,628,-990,837,514,270
266,541,335,-136,750,500,1168,384,278,627,-987,839,520,273
262,544,336,-137,748,505,1178,395,265,625,-986,838,517,274
259,544,339,-133,752,497,1161,404,252,624,-982,834,515,268
256,542,339,-137,754,501,1137,396,278,625,-979,836,521,262
258,542,338,-140,752,507,1130,392,303,621,-981,838,519,263
262,547,338,-137,754,511,1131,398,318,618,-985,836,510,271
262,546,340,-138,753,529,1139,401,336,620,-986,834,510,273
263,539,337,-138,750,539,1165,397,343,624,-984,834,517,269
266,540,336,-133,753,537,1191,392,332,626,-988,837,521,272
262,539,338,-134,754,528,1191,395,310,625,-990,838,517,275
257,539,337,-139,748,513,1189,403,299,623,-987,837,514,272
260,544,336,-136,750,508,1198,401,295,624,-989,837,519,264
267,542,337,-134,753,503,1189,393,269,627,-992,838,520,263
268,540,336,-140,750,483,1169,396,247,627,-986,838,514,273
269,544,339,-143,749,472,1154,400,251,625,-981,836,513,275
267,544,343,-140,750,485,1134,394,268,624,-986,837,518,271
264,541,340,-139,746,498,1116,390,286,624,-992,837,517,274
265,546,335,-139,747,503,1118,396,299,624,-991,837,515,273
269,547,334,-139,754,518,1134,397,301,626,-989,836,516,267
269,541,337,-137,754,532,1155,395,306,626,-993,838,518,268
262,540,338,-139,748,518,1184,400,305,625,-988,839,522,269
259,544,338,-142,749,501,1193,404,287,626,-981,835,521,268
267,545,339,-139,750,519,1182,397,287,626,-986,835,516,270
269,542,341,-134,747,532,1168,394,296,625,-990,837,520,272
262,542,343,-135,748,510,1150,400,282,626,-989,834,523,272
257,545,341,-137,750,488,1129,400,248,626,-991,830,514,270
261,544,337,-136,749,485,1120,399,232,625,-990,836,510,264
265,541,335,-137,750,491,1127,402,258,627,-984,843,517,263
266,541,336,-137,749,498,1127,402,298,627,-981,837,517,265
267,541,338,-140,746,515,1127,396,319,625,-980,830,514,264
268,543,340,-145,746,526,1130,390,321,624,-982,831,518,263
268,543,337,-141,747,515,1126,389,307,624,-986,833,519,270
266,539,331,-134,751,499,1137,391,286,624,-985,834,516,276
264,537,332,-136,752,500,1150,395,261,624,-981,840,516,273
259,542,336,-140,749,500,1143,394,229,623,-982,841,516,269
256,547,339,-143,751,495,1129,392,213,625,-985,837,517,265
263,543,337,-141,747,499,1136,395,238,629,-986,838,519,266
268,541,332,-137,742,513,1157,395,284,628,-985,840,518,271
265,545,332,-137,746,534,1172,397,311,624,-987,837,519,272
265,540,335,-141,747,536,1165,403,311,625,-990,835,522,272
267,532,339,-139,747,512,1142,403,300,626,-987,837,522,273
267,536,338,-133,752,498,1129,401,302,624,-982,838,517,272
266,541,334,-138,753,514,1132,399,312,623,-987,838,514,271
266,539,335,-144,746,535,1133,393,302,624,-988,839,515,271
269,542,339,-138,748,530,1129,391,280,624,-988,838,517,270
268,544,338,-134,753,509,1134,393,256,624,-990,838,517,270
265,542,339,-138,752,503,1138,392,240,623,-985,835,517,268
268,545,338,-138,751,508,1133,396,247,622,-982,836,518,267
270,546,333,-135,751,504,1143,405,280,622,-989,838,517,272
263,540,331,-138,747,504,1165,401,318,622,-988,834,516,276
264,539,336,-138,742,518,1159,393,326,622,-982,830,517,271
269,542,338,-139,744,530,1133,396,324,622,-987,837,517,268
263,538,338,-140,749,537,1131,399,338,622,-990,841,515,273
261,539,337,-139,751,531,1131,392,342,622,-989,836,514,275
267,542,336,-140,745,513,1113,387,304,622,-988,838,513,270
272,540,339,-138,742,502,1112,391,265,623,-985,840,516,269
277,541,340,-137,753,506,1128,390,275,622,-987,835,516,276
273,543,340,-141,759,520,1142,387,307,622,-986,834,516,276
265,538,340,-141,749,522,1157,390,323,624,-984,839,520,270
269,539,338,-139,746,509,1169,397,322,626,-984,840,519,271
274,545,335,-139,752,501,1166,404,311,626,-986,836,514,273
264,543,334,-137,749,508,1172,402,303,625,-986,837,516,269
259,541,338,-139,742,507,1176,395,319,629,-983,840,520,268
265,543,337,-142,747,496,1151,397,346,628,-981,839,520,273
268,543,335,-140,753,497,1123,399,343,625,-988,838,519,273
269,541,337,-137,753,502,1122,394,332,625,-993,840,518,270
267,542,338,-135,753,505,1130,392,341,627,-987,838,516,270
268,543,341,-135,753,511,1136,394,339,625,-990,834,515,267
270,543,341,-141,751,517,1148,395,307,624,-995,836,516,264
265,541,338,-143,752,513,1162,397,276,625,-989,840,513,266
262,540,341,-137,754,504,1166,396,268,624,-986,839,512,267
264,539,345,-136,749,504,1162,390,278,623,-990,837,515,267
262,540,336,-138,747,497,1157,394,287,624,-990,836,519,272
257,542,327,-138,750,478,1164,402,295,624,-984,838,524,275
261,542,333,-137,750,470,1169,401,311,623,-979,839,523,272
268,545,341,-140,750,476,1166,398,340,624,-979,838,517,268
266,545,340,-145,751,484,1167,399,361,624,-987,837,514,268
264,540,334,-143,749,497,1160,398,359,622,-987,840,517,271
268,536,333,-138,748,503,1133,397,335,622,-982,842,518,273
268,541,337,-138,750,502,1119,400,312,625,-984,836,515,271
268,545,342,-138,748,503,1125,400,293,627,-985,835,514,274
269,540,342,-139,751,502,1135,398,272,626,-985,840,516,272
268,539,341,-138,757,495,1150,399,256,626,-986,840,518,267
267,549,341,-136,754,498,1178,395,253,626,-986,837,517,271
268,548,338,-134,751,504,1200,391,257,626,-987,839,516,273
268,538,337,-138,755,507,1206,396,257,626,-986,839,516,273
267,543,339,-144,752,497,1204,400,262,626,-982,837,515,279
270,548,340,-143,746,480,1186,399,288,626,-986,842,513,275
270,542,340,-139,748,488,1170,399,339,626,-992,841,518,264
267,541,339,-137,749,509,1167,396,388,626,-989,836,523,268
267,546,338,-137,748,506,1154,387,396,626,-985,839,518,271
268,543,341,-138,752,497,1128,390,350,626,-984,840,513,265
267,540,341,-139,755,504,1113,399,288,626,-985,837,519,266
265,543,335,-136,750,500,1110,393,226,626,-990,834,520,270
266,544,338,-138,743,480,1115,388,157,626,-988,835,515,269
266,540,338,-144,746,479,1144,392,135,626,-985,836,519,271
268,540,331,-139,751,498,1180,398,176,626,-987,838,521,274
269,546,334,-136,750,504,1200,399,232,626,-987,840,519,272
268,546,340,-144,748,499,1204,392,282,626,-989,836,520,266
268,540,334,-145,749,500,1205,394,334,626,-989,834,517,266
267,540,335,-136,750,504,1201,402,363,626,-981,837,512,272
261,540,340,-135,750,506,1181,398,362,626,-981,837,514,273
